iseq,war,campn,engagem,atkr,atk_cmdr,defr,def_cmdr,date,long,lat,dist_att,dist_def,elev_mean_h,elev_min_h,elev_max_h,elev_var_h,elev_sd_h,elev_mean_l,elev_min_l,elev_max_l,elev_var_l,elev_sd_l,a_frontage,d_frontage,soft_ar,tree_ar,river,wet,overcast,temp,unit_ar,unit_cp,unit_dv,unit_rg,amilpert,dmilpert,ffr,afsr,dfsr,frontat,envelop,defoff,surprise,fort,a_tks_to,a_tks_lt,a_tks_mb,a_sortie,a_arty,d_tks_to,d_tks_lt,d_tks_mb,d_sortie,d_arty,a_democ,d_democ,a_prisec,d_prisec,a_coup5,d_coup5,duration,acas_per,dcas_per,ler,ln_ler,a_advance,rtadv
242,RUSSO-JAPANESE WAR,YALU 1904,THE YALU,JAP 1ST ARMY,TAMEMOTO KUROKI,RUSS ARMY,ZASULICH,1904.329,124.542,40.183,984376.3757,5685902.911,28.7924,5,125,583.7829146,24.1616,100.5,33,191,3242.7,56.9447,8,14,0,0,0,0,0,1,1,0,0,0,56000,18000,3.111111111,7000,2250,0,1,0,0,0,0,0,0,0,132,0,0,0,0,48,4,0,1124,413,0,0,1,1110,2500,0.444,-0.8119,32000,3.2
243,RUSSO-JAPANESE WAR,MANCHURIAN 1904,TELISSU,JAP 2ND ARMY,OKU,RUSS ARMY,STAKELBERG,1904.452,122.0084,39.6239,1081390.979,5581040.965,95.8898,41,170,987.970624,31.432,106.5,91,122,480.5,21.9203,8,6.5,0,0.013973086,0,0,0,1,1,0,0,0,36000,38000,0.947368421,4500,4750,1,0,0,0,0,0,0,0,0,108,0,0,0,0,94,4,0,1124,413,0,0,0.6944,1200,3800,0.3158,-1.1527,32000,4.8
244,RUSSO-JAPANESE WAR,MANCHURIAN 1904,LIAOYANG,JAP ARMY GROUP,OYAMA,RUSS ARMY GROUP,KUROPATKIN,1904.649,123.1911,41.2959,1114245.867,5569308.043,58.1159,8,421,4205.53547,64.8501,142.85,30,252,3760.9763,61.3268,42,42,0,0.008805652,0,0,0,1,1,0,0,0,135000,150000,0.9,3214.285714,3571.428571,1,0,1,0,1,0,0,0,0,552,0,0,0,0,542,4,0,1124,413,0,0,10,17500,16500,1.0606,0.0588,53000,2.5
245,RUSSO-JAPANESE WAR,MANCHURIAN 1904,THE SHA-HO,RUSS ARMY GROUP,KUROPATKIN,JAP ARMY GROUP,OYAMA,1904.762,123.2672,41.4875,5565334.393,1122877.186,62.3201,8,542,5070.508056,71.2075,161.8148,30,305,3978.4644,63.0751,64,64,0,0.032328482,0,0,0,1,1,0,0,0,210000,145000,1.448275862,3281.25,2265.625,1,0,1,0,0,0,0,0,0,928,0,0,0,0,612,0,4,413,1124,0,0,14,46000,17000,2.7059,0.9954,4000,-1.7
246,RUSSO-JAPANESE WAR,MANCHURIAN 1905,SANDEPU,RUSS ARMY,GRIPPENBERG,JAP ARMY GROUP,OYAMA,1905.071,122.9014,41.4165,5549346.586,1135126.809,12.6694,8,22,6.59565124,2.5682,60.6667,30,91,930.3333,30.5014,24,24,0,0,0,1,1,0,1,0,0,0,58000,40000,1.45,2416.666667,1666.666667,1,0,1,0,0,0,0,0,0,350,0,0,0,0,NA,0,4,413,1124,0,0,1.0104,13000,9400,1.383,0.3242,28000,0
247,RUSSO-JAPANESE WAR,MANCHURIAN 1905,MUKDEN,JAP ARMY GROUP,OYAMA,RUSS ARMY GROUP,KUROPATKIN,1905.142,123.4213,41.7728,1134558.265,5561684.521,67.5363,17,354,2434.603359,49.3417,166.3462,61,305,3132.5554,55.9692,64,75,0,0.003465027,0,0,0,1,1,0,0,0,314000,310000,1.012903226,4906.25,4843.75,1,0,0,0,1,0,0,0,0,892,0,0,0,0,1192,4,0,1124,413,0,0,18,41000,96500,0.4249,-0.856,77000,2.7
248,THE BALKAN WARS,MACEDONIA 1912,KUMANOVO,SERB 1ST ARMY,GEN PUTNIK,TK ARMY OF MACEDONIA,ZEHKI PASHA,1912.811,21.7311,42.1318,306812.2674,422070.4318,529.9863,254,1543,54473.92621,233.3965,548.5,366,1005,25459.3704,159.5599,30,30,0,0.03079414,0,1,1,1,1,0,0,0,103000,110000,0.936363636,3433.333333,3666.666667,1,0,1,0,0,0,0,0,0,180,0,0,0,0,NA,NA,2,569,97,0,1,0.9583,5000,10000,0.5,-0.6931,NA,NA
249,THE BALKAN WARS,THRACE 1912,LULE BURGAS,BUL ARMY GROUP,GEN DIMITRIEV,TK ARMY OF THE EAST,ABDALLA PASHA,1912.825,27.3473,41.4074,265745.1508,100764.0617,89.9658,29,185,1159.838381,34.0564,114.9286,80,211,1143.1799,33.8109,32,40,0,0,0,0,0,1,1,0,0,0,140000,110000,1.272727273,4375,3437.5,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,2,1209,97,0,1,5,20000,30000,0.6667,-0.4055,NA,NA
250,THE BALKAN WARS,MACEDONIA 1912,PRILEP,SERB 1ST ARMY,GEN PUTNIK,TK ARMY OF MACEDONIA,?,1912.836,21.5615,41.3527,390212.1833,414426.2251,840.0165,557,1574,56144.30731,236.9479,794.5294,534,1037,17233.5147,131.2765,22,10,0,0.006740764,0,1,1,1,1,0,0,0,50000,20000,2.5,2272.727273,909.0909091,1,0,1,0,0,0,0,0,0,72,0,0,0,0,NA,NA,2,569,97,0,1,2,3000,6000,0.5,-0.6931,NA,NA
251,THE BALKAN WARS,MACEDONIA 1912,MONASTIR,SERB ARMY GROUP,GEN PUTNIK,TK ARMY OF MACEDONIA,KARA SAID PASHA,1912.847,21.3396,41.0362,423488.9715,425048.4763,914.0392,561,2452,157162.0571,396.4367,911,568,1892,109504.5556,330.9147,37,20,0.013889577,0.15133869,0,1,1,1,1,0,0,0,120000,90000,1.333333333,3243.243243,2432.432432,0,1,1,0,0,0,0,0,0,NA,0,0,0,0,80,NA,2,569,97,0,1,1,5000,20000,0.25,-1.3863,34000,6
